author_name,editor_name
Claude E. Walston,
Philip J. Davis,
Philip Rabinowitz,
R. Daniel Bergeron,
John D. Gannon,
D. P. Shecter,
Frank Wm. Tompa,
Andries van Dam,
H. H. Glaettli,
Michael A. Harrison,
Warren Harrison,
S. Sitharama Iyengar,
Rangasami L. Kashyap,
Vijay K. Vaishnavi,
Nageswara S. V. Rao,
Anneliese von Mayrhauser,
Wayne A. Danielson,
Hrishikesh P. Gadagkar,
Mohan M. Trivedi,
Edward M. Roche,
Seymour E. Goodman,
Hsinchun Chen,
Yehoshua Bar-Hillel,
John D. Musa,
Willa K. Ehrlich,
Ranan B. Banerji,
Frederick B. Thompson,
Bozena Henisz Thompson,
Kevin C. O'Kane,
Edward A. Haluska,
Jos A. B. Fortes,
Benjamin W. Wah,
Weijia Shang,
Kumar N. Ganapathy,
Steven A. Demurjian,
David K. Hsiao,
Paula Strawser,
D. M. Jackson,
John McLeod,
Amrit L. Goel,
Kune-Zang Yang,
Peter Dorato,
Daniel Petersen,
Charles L. Coulter,
Robert S. Ledley,
Alan R. Hevner,
Aruna Rao,
Ted J. Biggerstaff,
Abha Moitra,
S. Sitharama Iyengar,
Toyoaki Nishida,
Shuji Doshita,
Barbara J. Grosz,
Barbara J. Grosz,
Koji Iwanuma,
Kazuhiko Oota,
Franz Baader,
Martin Buchheit,
Bernhard Hollunder,
David Reynolds,
Jagannathan Gomatam,
Takeshi Kohno,
Susumu Hamada,
Dai Araki,
Shoichi Kojima,
Toshikazu Tanaka,
Donald F. Beal,
Peter van Beek,
Randall D. Beer,
Andrew Zisserman,
David A. Forsyth,
Joseph L. Mundy,
Charlie Rothwell,
Jane Liu,
Nic Pillow,
James P. Delgrande,
Arvind Gupta,
Tim Van Allen,
John Bell,
John Bell,
Kenneth D. Forbus,
Kenneth D. Forbus,
Kenneth D. Forbus,
Kenneth D. Forbus,
Hai-Ping Ko,
Liwu Li,
Alex Pentland,
James P. Delgrande,
Torsten Schaub,
W. Ken Jackson,
Mike Perkowitz,
Oren Etzioni,
Hong Xu,
Jonathan Schaeffer,
Rachel Ben-Eliyahu-Zohary,
David Ash,
Barbara Hayes-Roth,
Pallab Dasgupta,
P. P. Chakrabarti,
S. C. De Sarkar,
Pallab Dasgupta,
P. P. Chakrabarti,
S. C. De Sarkar,
Pallab Dasgupta,
P. P. Chakrabarti,
S. C. De Sarkar,
Luis de Ledesma,
Aurora Prez,
Daniel Borrajo,
Luis M. Laita,
Zhi-Hua Zhou,
Jian-Xin Wu,
Wei Tang,
Katja Markert,
Udo Hahn,
David Perkins,
Richard M. Stallman,
Gerald J. Sussman,
Yoav Shoham,
Drew V. McDermott,
Yaron Shoham,
Sivan Toledo,
Yoav Shoham,
Moshe Tennenholtz,
Yoav Shoham,
Moshe Tennenholtz,
Joseph C. Pemberton,
Weixiong Zhang,
Christos H. Papadimitriou,
Martha Sideri,
Catherine Carr,
Gerhard Schurz,
Kent A. Stevens,
Peter Jeavons,
Martin C. Cooper,
Thomas F. Stahovich,
Randall Davis,
Howard E. Shrobe,
Thomas F. Stahovich,
Randall Davis,
Howard E. Shrobe,
John E. Laird,
Allen Newell,
Paul S. Rosenbloom,
Henry A. Kautz,
Bart Selman,
J. W. Guan,
David A. Bell,
D. M. Lyons,
A. J. Hendriks,
Donald Perlis,
Donald Perlis,
Jack Minker,
Subbarao Kambhampati,
Subbarao Kambhampati,
Kurt VanLehn,
Kurt VanLehn,
Kurt VanLehn,
Michael R. Genesereth,
Michael R. Genesereth,
Raphael A. Finkel,
John P. Fishburn,
Michael Buro,
Bruce G. Buchanan,
Edward A. Feigenbaum,
Subhodev Das,
Narendra Ahuja,
Barbara J. Grosz,
Sarit Kraus,
Ramanathan V. Guha,
Douglas B. Lenat,
Graeme Hirst,
Graeme Hirst,
Adam J. Grove,
Zippora Arzi-Gonczarowski,
Daniel J. Lehmann,
Varol Akman,
Clark Glymour,
Ingemar J. Cox,
John J. Leonard,
Michael T. Cox,
Ashwin Ram,
Susan S. Chen,
James M. Keller,
Richard M. Crownover,
Francisco J. Dez,
Rodney A. Brooks,
Rodney A. Brooks,
Masumi Ishikawa,
Baoqiu Cui,
Terrance Swift,
Marco Dorigo,
Marco Colombetti,
Weixiong Zhang,
Rina Dechter,
Richard E. Korf,
Bernard Nudel,
Yiming Yang,
Jaime G. Carbonell,
Ralf D. Brown,
Robert E. Frederking,
Richard Baker,
Andrew B. Baker,
James F. Allen,
Yoshinori Suganuma,
Richard Fikes,
Nils J. Nilsson,
Bonnie J. Dorr,
Bonnie J. Dorr,
Bjrnar Tessem,
Frank M. Brown,
Sten-ke Trnlund,
Stephen W. Draper,
Daniel M. Russell,
Stuart J. Russell,
Ralph Grishman,
Lynette Hirschman,
Jon Oberlander,
Eero Hyvnen,
Robert A. Kowalski,
Donald Kuehner,
Chitta Baral,
Chiara Ghidini,
Fausto Giunchiglia,
Narendra Ahuja,
Radu Horaud,
Phan Minh Dung,
J. B. Paris,
A. Vencovsk,
Lenhart K. Schubert,
Gilbert Falk,
Michael A. Bauer,
Eric B. Baum,
Warren D. Smith,
Tad Hogg,
Bernardo A. Huberman,
Colin P. Williams,
Michael G. Dyer,
Clive L. Dym,
Jean-Denis Fouks,
L. Signac,
Luis Enrique Sucar,
Duncan Fyfe Gillies,
D. A. Gillies,
Daniel G. Bobrow,
Ronald M. Kaplan,
Martin Kay,
Donald A. Norman,
Henry Thompson,
Terry Winograd,
Kurt Ammon,
Kurt Ammon,
Daniel H. Fishman,
Jack Minker,
Stephen W. Smoliar,
Stephen W. Smoliar,
Stephen W. Smoliar,
Stephen W. Smoliar,
Stephen W. Smoliar,
Stephen W. Smoliar,
P. rdi,
Llus Vila,
Han Reichgelt,
Jack Minker,
Daniel H. Fishman,
James R. McSkimin,
Prasad Tadepalli,
DoKyeong Ok,
Janice S. Aikins,
Janice S. Aikins,
Donald A. Waterman,
Gilad Zlotkin,
Jeffrey S. Rosenschein,
Alan W. Biermann,
Roger Mohr,
Boubakeur Boufama,
Pascal Brand,
Jacques Robin,
Kathleen McKeown,
Rodney W. Johnson,
W. Lewis Johnson,
W. Lewis Johnson,
Georg Gottlob,
Christian G. Fermller,
Georg Gottlob,
Zhang Mingyi,
Luc De Raedt,
Maurice Bruynooghe,
Luc De Raedt,
Saso Dzeroski,
Dov Monderer,
Moshe Tennenholtz,
Geoff Sutcliffe,
Christian B. Suttner,
C. Ravi Shankar,
Natarajan Shankar,
Richard S. Crouch,
Stephen G. Pulman,
Ryszard S. Michalski,
Shlomo Argamon-Engelson,
Sarit Kraus,
Sigalit Sina,
Ranan B. Banerji,
George W. Ernst,
Arnold K. Griffith,
Kevin Knight,
Daniel Marcu,
W. Todd Wipke,
Glenn I. Ouchi,
S. Krishnan,
Brian V. Funt,
Dominique Pastre,
Dominique Pastre,
Andrew R. Haas,
Premkumar T. Devanbu,
Diane J. Litman,
Nancy L. Tinkham,
Ching-Chih Han,
Chia-Hoang Lee,
Rogers P. Hall,
Peter Jonsson,
Christer Bckstrm,
Douglas B. Lenat,
Douglas B. Lenat,
John Seely Brown,
Douglas B. Lenat,
Edward A. Feigenbaum,
Marco Ramoni,
Paola Sebastiani,
Neil V. Murray,
C. Raymond Perrault,
Ugo Montanari,
H. Keith Nishihara,
Brian Cohen,
Hirofumi Katsuno,
Alberto O. Mendelzon,
William W. Cohen,
Philip R. Cohen,
Hector J. Levesque,
Paul R. Cohen,
Bruce W. Porter,
Andrew J. Palay,
Gerhard Brewka,
Thomas Eiter,
J. Christopher Beck,
Mark S. Fox,
Wilhelm Rdder,
Neil A. B. Gray,
Eugene Charniak,
Glenn Carroll,
John Adcock,
Anthony R. Cassandra,
Yoshihiko Gotoh,
Jeremy Katz,
Michael L. Littman,
John McCann,
James P. Delgrande,
Torsten Schaub,
James P. Delgrande,
Torsten Schaub,
Lubomir Bic,
Louis Hodes,
Andrew Gelsey,
Minh Binh Do,
Subbarao Kambhampati,
Anthony G. Cohn,
Donald Perlis,
W. W. Bledsoe,
Robert S. Boyer,
William H. Henneman,
Il-Pyung Park,
John R. Kender,
Clive L. Dym,
Tad Hogg,
Colin P. Williams,
W. W. Bledsoe,
Kenneth Kunen,
Robert E. Shostak,
Kristian J. Hammond,
Timothy M. Converse,
Joshua W. Grass,
Jun He,
Xin Yao,
Richard K. Belew,
Fernando J. Corbacho,
Tad Hogg,
Stuart C. Shapiro,
Aimin Hou,
Berthold K. P. Horn,
Craig Boutilier,
Fahiem Bacchus,
Froduald Kabanza,
Craig Boutilier,
Vernica Becher,
Eduard H. Hovy,
Eduard H. Hovy,
Enrico W. Coiera,
Fahiem Bacchus,
Qiang Yang,
Bruce W. Porter,
Ray Bareiss,
Robert C. Holte,
Richard C. T. Lee,
Chia-Hoang Lee,
M. H. Lee,
Zenon W. Pylyshyn,
Zenon W. Pylyshyn,
Fangzhen Lin,
Jinxin Lin,
Fangzhen Lin,
Jiming Liu,
James B. H. Kwa,
Kokichi Sugihara,
Kokichi Sugihara,
Dana S. Nau,
Dana S. Nau,
Xumin Nie,
Holger H. Hoos,
Thomas Sttzle,
Jordan B. Pollack,
Martha E. Pollack,
Jordan B. Pollack,
Alex Pentland,
Marcel Schoppers,
Berthold K. P. Horn,
Brian G. Schunck,
Berthold K. P. Horn,
Brian G. Schunck,
John O. Everett,
Rina Dechter,
Itay Meiri,
Judea Pearl,
Alexander Reinefeld,
Peter Ridinger,
John F. Horty,
Louis I. Steinberg,
N. Langrana,
Jana Koehler,
Ron Sun,
Zohar Manna,
Richard J. Waldinger,
Michael A. Arbib,
Michael A. Arbib,
Michael A. Arbib,
Leonard Uhr,
Adele E. Howe,
Paul R. Cohen,
Alvaro del Val,
Grzegorz Kondrak,
Peter van Beek,
Fahiem Bacchus,
Joseph Y. Halpern,
Hector J. Levesque,
Tuomas Sandholm,
Craig Boutilier,
Richard Dearden,
Moiss Goldszmidt,
Alan K. Mackworth,
Alan K. Mackworth,
Alan K. Mackworth,
Alan K. Mackworth,
Fahiem Bacchus,
Josh D. Tenenberg,
Johannes A. G. M. Koomen,
Craig Boutilier,
Yoav Shoham,
Michael P. Wellman,
Leslie G. Valiant,
Ian P. Gent,
Kostas Stergiou,
Toby Walsh,
Ian P. Gent,
Toby Walsh,
Kenneth Man-kam Yip,
Kenneth Man-kam Yip,
Paul R. Cooper,
Michael J. Swain,
Ian Horswill,
Jonathan Schaeffer,
H. Jaap van den Herik,
Peter Grdenfors,
David Makinson,
Elaine Kant,
John L. Pollock,
John L. Pollock,
John L. Pollock,
John L. Pollock,
Bernhard Nebel,
Christer Bckstrm,
Bernhard Nebel,
Jana Koehler,
Rachel Ben-Eliyahu-Zohary,
Luigi Palopoli,
Ashwin Srinivasan,
Stephen Muggleton,
Michael J. E. Sternberg,
Ross D. King,
Donald Michie,
Jon W. Freeman,
Kenneth D. Forbus,
Paul Nielsen,
Boi Faltings,
Michael P. Wellman,
Michael P. Wellman,
Michael P. Wellman,
Noel Sharkey,
Steve Hanks,
Drew V. McDermott,
Steve Hanks,
Drew V. McDermott,
Frank C. Keil,
Judea Pearl,
Judea Pearl,
Judea Pearl,
Judea Pearl,
Judea Pearl,
Judea Pearl,
Judea Pearl,
